val_loss,val_acc,epoch,step,test_loss,test_acc
0.2922031879425049,0.9100000262260437,0,859,,
0.21911077201366425,0.9333999752998352,1,1719,,
0.18280576169490814,0.9449999928474426,2,2579,,
,,3,2580,0.17725138366222382,0.9466999769210815
